timestamp,dataset,k,p,q,model,silhouette,davies_bouldin,inertia,min_balance,avg_balance,violation_rate,avg_dp_gap,tree_fidelity,tree_depth,tree_leaves,avg_exemplar_coverage,runtime_s
2026-03-23 16:53:41,adult,6,1,2,kmeans_baseline,0.12959760300934653,1.714926632795035,185838.24776647054,0.1590909090909091,0.4268698894996806,0.8333333333333334,0.09439004355529579,0.8556666666666667,4,13,0.8653219993859298,20.61
2026-03-23 16:53:41,adult,6,1,2,kmedoids_baseline,0.06600227619158325,2.895427162175459,234630.27344639882,0.09660739059149956,0.5829094076738304,0.3333333333333333,0.19781058397465365,0.7661111111111111,4,16,0.9018217238745915,57.49
2026-03-23 16:53:41,adult,6,1,2,kmedians_baseline,0.05272174857296554,3.1840399062891684,239828.24335099885,0.09100050276520864,0.5658732011513138,0.3333333333333333,0.2011071081075054,0.8998888888888888,4,16,0.8973973129093568,14.08
2026-03-23 16:53:41,adult,6,1,2,fair_kmedoids,0.006035033020390019,5.9026642683756805,264384.45862895704,0.4591134581533045,0.4791210712636349,1.0,0.004960584171881832,0.574,4,16,0.8958466003057611,20.62
2026-03-23 16:53:41,adult,6,1,2,fair_kmedians,-0.002617753549449958,7.657684076941475,272359.1939564736,0.4653819918144611,0.47725075712666104,1.0,0.005093174548082557,0.5268888888888889,4,16,0.89476797545468,14.12
2026-03-23 19:46:09,adult,6,1,3,kmeans_baseline,0.12959760300934653,1.714926632795035,185838.24776647054,0.1590909090909091,0.4268698894996806,0.3333333333333333,0.09439004355529579,0.8556666666666667,4,13,0.8653219993859298,35.4
2026-03-23 19:46:09,adult,6,1,3,kmedoids_baseline,0.06600227619158325,2.895427162175459,234630.27344639882,0.09660739059149956,0.5829094076738304,0.3333333333333333,0.19781058397465365,0.7661111111111111,4,16,0.9018217238745915,85.42
2026-03-23 19:46:09,adult,6,1,3,kmedians_baseline,0.05272174857296554,3.1840399062891684,239828.24335099885,0.09100050276520864,0.5658732011513138,0.3333333333333333,0.2011071081075054,0.8998888888888888,4,16,0.8973973129093568,21.49
2026-03-23 19:46:09,adult,6,1,3,fair_kmedoids,0.0019245051143394268,4.980420926939916,263518.3590183645,0.3523809523809524,0.49091710790530807,0.0,0.052739054418124875,0.5925555555555555,4,16,0.8964012949157203,25.31
2026-03-23 19:46:09,adult,6,1,3,fair_kmedians,-0.008232369419988731,5.756785193831128,270364.5845042765,0.3588929219600726,0.54153524343074,0.0,0.08926186696649514,0.5567777777777778,4,16,0.8993584878553252,36.98
2026-03-23 19:53:57,adult,6,1,3,kmeans_baseline,0.12959760300934653,1.714926632795035,185838.24776647054,0.1590909090909091,0.4268698894996806,0.3333333333333333,0.09439004355529579,0.8556666666666667,4,13,0.8653219993859298,24.92
2026-03-23 19:53:57,adult,6,1,3,kmedoids_baseline,0.06600227619158325,2.895427162175459,234630.27344639882,0.09660739059149956,0.5829094076738304,0.3333333333333333,0.19781058397465365,0.7661111111111111,4,16,0.9018217238745915,59.76
